amfi_code,calculated_alpha,calculated_beta
100016,0.00014373343587013434,-0.02590940576586108
100033,0.0010450276294892192,0.031025866332786627
101206,0.0008489870972465705,0.03381398454659163
101207,0.0004749714626641795,-0.048603884021591104
101208,0.0002491388017177332,-0.03017686549184378
102886,0.00016483858057669042,-0.04908995809234825
102887,0.0006580734264905357,-0.014987125347858739
118632,0.0008622249514112412,0.03643421773147288
118633,0.000615229963334688,0.013157652619096481
118634,0.0007070532048932832,5.4048028870214035e-05
118636,0.00020547139966593212,-0.009714078122207094
119092,0.00027659407981575916,-0.019608739866468185
119093,0.00033055282628324155,-0.008427720099019357
119094,0.0010686597672580163,-0.03743664145919371
119095,0.00022974063779374488,-0.04557988150841556
119120,0.0002226471669693012,-0.0009345364767221966
119551,0.0009214146038379891,-0.05604508562674625
119552,0.0007868778645829952,-0.01985302504967574
119598,0.0012504399383815293,-0.047550969597759944
119599,0.000189620459953173,0.01125315688373434
120503,0.0006979340390969342,-0.004111147836045636
120504,0.0008416440515635146,0.017025361766949257
120505,0.001163090987439869,-0.0015796991881795025
120507,0.00025268168649389926,0.05950247199798007
120841,0.0005185824709737455,0.04167578236653616
120842,0.00035122091225823235,-0.0350763607777299
120843,0.001102947890753143,-0.024945297987258194
120844,0.0002501395393650647,0.02380444138996715
125497,0.000709972050933367,-0.005459316559048835
125498,0.00041046904435314,0.059234290852116935
148567,0.0010759927130242473,-0.028133312231657458
149322,0.0005210280552648761,0.014848756863667921
149323,0.001067940462384848,-0.011374472404232672
149324,0.0011644968460630112,0.0285499975256713
